LogId,StartTime,Duration,Efficiency,IsMainSleep,MinutesAfterWakeup,MinutesAsleep,MinutesToFallAsleep,TimeInBed,AwakeCount,AwakeDuration,RestlessCount,RestlessDuration
32163869170,5/14/2021 4:03:30 PM,3720000,90,True,0,56,0,62,0,0,2,6
32165429419,5/14/2021 8:24:00 PM,25140000,96,True,0,399,0,419,1,3,2,3
32172562556,5/15/2021 4:41:00 AM,3660000,93,False,0,57,0,61,0,0,1,4
32174406571,5/15/2021 8:18:00 AM,4380000,97,False,0,71,0,73,0,0,1,2
32175216767,5/15/2021 11:13:00 AM,3780000,95,False,0,60,0,63,0,0,2,3
32177017230,5/15/2021 4:41:00 PM,4020000,93,False,0,62,0,67,0,0,2,5
32181658922,5/15/2021 10:18:00 PM,3900000,100,False,0,65,0,65,0,0,0,0
32203641313,5/17/2021 8:28:30 AM,12060000,96,True,0,192,0,201,4,8,1,1
32238109429,5/19/2021 10:43:00 PM,8100000,100,True,4,131,0,135,0,0,1,4
32245444061,5/20/2021 11:49:00 AM,6060000,91,False,0,92,0,101,0,0,4,9
32255818685,5/21/2021 3:10:00 AM,7020000,99,False,0,116,0,117,0,0,1,1
32257773881,5/21/2021 8:01:30 AM,4260000,90,False,0,64,0,71,2,2,2,5
32262097330,5/21/2021 1:32:30 PM,12600000,83,True,0,161,0,210,1,1,2,3
32266600748,5/21/2021 10:27:30 PM,31740000,90,True,0,478,0,529,0,0,2,6
32273017060,5/22/2021 8:49:30 AM,4620000,99,False,9,67,0,77,1,1,3,9
32274789477,5/22/2021 11:37:00 AM,7020000,99,False,0,116,0,117,0,0,1,1
32278962406,5/22/2021 10:12:30 PM,4260000,96,False,2,66,0,71,0,0,4,5
32294677042,5/23/2021 10:46:00 PM,13020000,94,True,0,205,0,217,1,3,4,9
32298541287,5/24/2021 5:55:00 AM,6120000,94,False,0,96,0,102,1,2,2,4
32311609780,5/24/2021 9:17:00 PM,39360000,97,True,0,639,0,656,0,0,10,17
32312779365,5/25/2021 9:16:30 AM,5280000,95,False,0,84,0,88,0,0,3,4
32314927884,5/25/2021 4:29:00 PM,6660000,98,False,0,109,0,111,0,0,2,2
32319475530,5/25/2021 11:34:30 PM,32100000,96,True,0,513,0,535,0,0,0,0
32326892931,5/26/2021 1:39:00 PM,7320000,90,False,0,110,0,122,2,3,5,9
32335277038,5/26/2021 8:41:30 PM,30660000,99,True,0,506,0,511,0,0,4,5
32337275642,5/27/2021 6:24:00 AM,7800000,92,False,0,119,0,130,0,0,5,11
32338874109,5/27/2021 1:34:00 PM,4920000,98,False,1,79,0,82,0,0,2,3
32344473680,5/28/2021 12:16:00 AM,4800000,99,False,0,79,0,80,0,0,1,1
32349316322,5/28/2021 4:23:00 AM,10680000,90,True,0,160,0,178,1,1,9,17
32356875780,5/28/2021 10:48:30 PM,32160000,93,True,0,497,0,536,0,0,1,1
32363448787,5/29/2021 9:53:00 AM,7260000,87,False,0,105,0,121,1,2,9,14
32370252638,5/30/2021 1:24:30 AM,17460000,94,True,0,270,0,291,0,0,8,17
32381783729,5/30/2021 11:26:30 PM,33480000,91,True,0,507,0,558,0,0,1,2
